input_name,matched_name,symbol,yfinance_ticker,confidence
Reliance Industries Ltd.,Reliance Industries Limited,RELIANCE,RELIANCE.NS,90.47619047619048
Larsen & Toubro Ltd.,Larsen & Toubro Limited,LT,LT.NS,86.66666666666667
Eicher Motors Ltd.,Eicher Motors Limited,EICHERMOT,EICHERMOT.NS,86.66666666666667
Asian Paints Ltd.,Asian Paints Limited,ASIANPAINT,ASIANPAINT.NS,85.71428571428572
Britannia Industries Ltd.,Britannia Industries Limited,BRITANNIA,BRITANNIA.NS,90.9090909090909
Kotak Mahindra Bank Ltd.,Kotak Mahindra Bank Limited,KOTAKBANK,KOTAKBANK.NS,90.47619047619048
State Bank Of India,State Bank of India,SBIN,SBIN.NS,100.0
Divi'S Laboratories Ltd.,Divi's Laboratories Limited,DIVISLAB,DIVISLAB.NS,90.0
HDFC Life Insurance Company Ltd.,HDFC Life Insurance Company Limited,HDFCLIFE,HDFCLIFE.NS,93.10344827586206
Bharti Airtel Ltd.,Bharti Airtel Limited,BHARTIARTL,BHARTIARTL.NS,86.66666666666667
Avenue Supermarts Ltd.,Avenue Supermarts Limited,DMART,DMART.NS,89.47368421052632
Page Industries Ltd.,Page Industries Limited,PAGEIND,PAGEIND.NS,88.23529411764706
Hindustan Unilever Ltd.,Hindustan Unilever Limited,HINDUNILVR,HINDUNILVR.NS,90.0
Shree Cement Ltd.,SHREE CEMENT LIMITED,SHREECEM,SHREECEM.NS,85.71428571428572
Samvardhana Motherson International Ltd.,Samvardhana Motherson International Limited,MOTHERSON,MOTHERSON.NS,94.5945945945946
Mankind Pharma Ltd.,Mankind Pharma Limited,MANKIND,MANKIND.NS,87.5
Hindalco Industries Ltd.,Hindalco Industries Limited,HINDALCO,HINDALCO.NS,90.47619047619048
Tech Mahindra Ltd.,Tech Mahindra Limited,TECHM,TECHM.NS,86.66666666666667
Varun Beverages Ltd.,Varun Beverages Limited,VBL,VBL.NS,88.23529411764706
Schaeffler India Ltd.,Schaeffler India Limited,SCHAEFFLER,SCHAEFFLER.NS,88.88888888888889
ICICI Lombard General Insurance Company Ltd.,ICICI Lombard General Insurance Company Limited,ICICIGI,ICICIGI.NS,95.1219512195122
ICICI Prudential Life Insurance Company Ltd.,ICICI Prudential Life Insurance Company Limited,ICICIPRULI,ICICIPRULI.NS,95.1219512195122
Sona Blw Precision Forgings Ltd.,Sona BLW Precision Forgings Limited,SONACOMS,SONACOMS.NS,93.10344827586206
PI Industries Ltd.,PI Industries Limited,PIIND,PIIND.NS,86.66666666666667
Motherson Sumi Wiring India Ltd.,Motherson Sumi Wiring India Limited,MSUMI,MSUMI.NS,93.10344827586206
Brainbees Solutions Ltd.,Brainbees Solutions Limited,FIRSTCRY,FIRSTCRY.NS,90.47619047619048
Maruti Suzuki India Ltd.,Maruti Suzuki India Limited,MARUTI,MARUTI.NS,90.47619047619048
Ultratech Cement Ltd.,UltraTech Cement Limited,ULTRACEMCO,ULTRACEMCO.NS,88.88888888888889
Tata Consultancy Services Ltd.,Tata Consultancy Services Limited,TCS,TCS.NS,92.5925925925926
TVS Motor Company Ltd.,TVS Motor Company Limited,TVSMOTOR,TVSMOTOR.NS,89.47368421052632
Power Grid Corporation Of India Ltd.,Power Grid Corporation of India Limited,POWERGRID,POWERGRID.NS,93.93939393939394
Timken India Ltd.,Timken India Limited,TIMKEN,TIMKEN.NS,85.71428571428572
L&T Technology Services Ltd.,L&T Technology Services Limited,LTTS,LTTS.NS,91.66666666666666
Kajaria Ceramics Ltd.,Kajaria Ceramics Limited,KAJARIACER,KAJARIACER.NS,88.88888888888889
Dr. Lal Path Labs Ltd.,Dr. Lal Path Labs Ltd.,LALPATHLAB,LALPATHLAB.NS,100.0
Jubilant Foodworks Ltd.,Jubilant Foodworks Limited,JUBLFOOD,JUBLFOOD.NS,90.0
FSN E-Commerce Ventures Ltd.,FSN E-Commerce Ventures Limited,NYKAA,NYKAA.NS,91.66666666666666
Honeywell Automation India Ltd.,Honeywell Automation India Limited,HONAUT,HONAUT.NS,92.85714285714286
Godrej Properties Ltd.,Godrej Properties Limited,GODREJPROP,GODREJPROP.NS,89.47368421052632
Colgate Palmolive (India) Ltd.,Colgate Palmolive (India) Limited,COLPAL,COLPAL.NS,92.0
Bajaj Finance Ltd.,Bajaj Finance Limited,BAJFINANCE,BAJFINANCE.NS,86.66666666666667
Interglobe Aviation Ltd.,InterGlobe Aviation Limited,INDIGO,INDIGO.NS,90.47619047619048
Muthoot Finance Ltd.,Muthoot Finance Limited,MUTHOOTFIN,MUTHOOTFIN.NS,88.23529411764706
Nuvoco Vistas Corporation Ltd.,Nuvoco Vistas Corporation Limited,NUVOCO,NUVOCO.NS,92.5925925925926
Max Financial Services Ltd.,Max Financial Services Limited,MFSL,MFSL.NS,91.66666666666666
Mahindra & Mahindra Ltd.,Mahindra & Mahindra Limited,M&M,M&M.NS,89.47368421052632
Grasim Industries Ltd.,Grasim Industries Limited,GRASIM,GRASIM.NS,89.47368421052632
Ashok Leyland Ltd.,Ashok Leyland Limited,ASHOKLEY,ASHOKLEY.NS,86.66666666666667
United Breweries Ltd.,United Breweries Limited,UBL,UBL.NS,88.88888888888889
Aavas Financiers Ltd.,Aavas Financiers Limited,AAVAS,AAVAS.NS,88.88888888888889
Indus Towers Ltd.,Indus Towers Limited,INDUSTOWER,INDUSTOWER.NS,85.71428571428572
Aptus Value Housing Finance India Ltd.,Aptus Value Housing Finance India Limited,APTUS,APTUS.NS,94.28571428571428
